job_title,company_title,salary,location,posting_date,expiration_date,industry,job_type,exp,position,detailed_welfare,age,sex,edu_level,job_tags
CONTENT MARKETING,CÔNG TY TNHH THỰC PHẨM MINH KHÁNH LONG,Lương: 7 Tr - 10 Tr VND,Hà Nội,25-06-2023,24/07/2023,Tiếp thị / Marketing | Thực phẩm & Đồ uống | Nhà hàng / Khách sạn,Nhân viên chính thức,1 - 2 Năm,Nhân viên,Chế độ bảo hiểm | Du Lịch | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Phụ cấp thâm niên," Độ tuổi:
                        22 - 30
                 
	",,,
Giám Đốc Chi Nhánh (Ocean Edu An Khánh),Công Ty CP Giáo Dục Đại Dương,Lương: 22 Tr - 26 Tr VND,Hà Nội,25-06-2023,24/07/2023,Bán hàng / Kinh doanh | Dịch vụ khách hàng | Quản lý điều hành,Nhân viên chính thức,Trên 3 Năm,Giám đốc ,Chế độ bảo hiểm | Du Lịch | Phụ cấp | Đồng phục | Chế độ thưởng | Đào tạo | Tăng lương | Công tác phí | Nghỉ phép năm," Độ tuổi:
                        27 - 35
                 
	"," Giới tính:
         Nữ  ",,Giám Đốc Chi Nhánh Ocean Edu An Khánh |  Director
Nhân Viên Kinh Doanh,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI VÀ DỊCH VỤ VIỆT AN PHÁT,Lương: 8 Tr - 15 Tr VND,Hà Nội,25-06-2023,24/07/2023,Bán hàng / Kinh doanh | Tư vấn | Dịch vụ khách hàng,Nhân viên chính thức,Trên 2 Năm,Nhân viên,Chế độ bảo hiểm | Du Lịch | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương," Độ tuổi:
                Không giới hạn tuổi
         
	",,, Đại diện kinh doanh |  Nhân viên phòng kinh doanh |  Nhân viên bán hàng |  Đại diện bán hàng |  Telesales |  Salesman |  Sales Engineer |  Sales Executive |  Chuyên Viên Kinh Doanh |  Sales Dept
Chuyên viên Phát triển sản phẩm bán lẻ,VCBS - Chung khoan VCB,Lương: Cạnh tranh,Hà Nội,25-06-2023,24/07/2023,Chứng khoán | Ngân hàng | Quản lý điều hành,Nhân viên chính thức,1 - 5 Năm,Nhân viên,Chế độ bảo hiểm | Du Lịch | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương," Độ tuổi:
                Không giới hạn tuổi
         
	",," Bằng cấp:
                Đại học
         ",chứng khoán | phân tích | quản trị rủi ro | Chuyên viên Phát triển sản phẩm bán lẻ | sản phẩm chứng khoán
Website Designer Executive - Chuyên Viên Thiết Kế Website,CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU & XÂY DỰNG KNC VIỆT NAM,Lương: Cạnh tranh,Hồ Chí Minh,24-06-2023,23/07/2023,CNTT - Phần mềm | Mỹ thuật / Nghệ thuật / Thiết kế,Nhân viên chính thức,5 - 7 Năm,Nhân viên,Chế độ bảo hiểm | Du Lịch | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương," Độ tuổi:
                Không giới hạn tuổi
         
	",," Bằng cấp:
                Đại học
         ", Web designer |  Graphic designer |  UI designer |  Ux Designer |  Nhân viên thiết kế web
Nhân viên kinh doanh bất động sản,CÔNG TY CỔ PHẦN ĐẦU TƯ BICA HOLDINGS,Lương: 5 Tr - 9 Tr VND,Thanh Hóa,25-06-2023,24/07/2023,Bán hàng / Kinh doanh,Nhân viên chính thức,Lên đến 1Năm,Nhân viên,Chế độ bảo hiểm | Du Lịch | Phụ cấp | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Nghỉ phép năm | CLB thể thao," Độ tuổi:
                        20 - 40
                 
	",,, Real estate salesperson |  Chuyên viên kinh doanh bất động sản |  bất động sản |  real estate |  BĐS |  Môi giới
Nhân viên kế toán thuế,EUROSTONE -  CÔNG TY CỔ PHẦN ĐÁ HOA CƯƠNG CHÂU ÂU,Lương: Cạnh tranh,Hồ Chí Minh,25-06-2023,24/07/2023,Kế toán / Kiểm toán | Xây dựng,Nhân viên chính thức,2 - 5 Năm,Nhân viên,Laptop | Chế độ bảo hiểm | Du Lịch | Phụ cấp | Du lịch nước ngoài | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Nghỉ phép năm | CLB thể thao," Độ tuổi:
                        25 - 35
                 
	",,,
Nhân viên tài chính nguồn vốn (Chủ đầu tư),Công ty Cổ phần Đầu tư EMI,Lương: 12 Tr - 16 Tr VND,Hà Nội,25-06-2023,24/07/2023,Tư vấn | Chứng khoán | Tài chính / Đầu tư,Nhân viên chính thức,1 - 2 Năm,Nhân viên,Chế độ bảo hiểm | Du Lịch | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Nghỉ phép năm," Độ tuổi:
                        23 - 28
                 
	",," Bằng cấp:
                Cao đẳng
         ",Nhân viên tài chính nguồn vốn Chủ đầu tư |  Finance officer |  Chuyên viên phân tích tài chính |  Nhân viên phân tích tài chính
Hà Nội - CN Xuân Mai - Kiểm ngân,LPBank,Lương: Cạnh tranh,Hà Nội,25-06-2023,,Bán hàng / Kinh doanh | Kế toán / Kiểm toán | Ngân hàng,Nhân viên chính thức,Nhân viên,24/07/2023,Chế độ bảo hiểm | Du Lịch | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương," Độ tuổi:
                Không giới hạn tuổi
         
	",," Bằng cấp:
                Cao đẳng
         ",Kiểm ngân
Thông Dịch Viên Tiếng Nhật,Công Ty TNHH Mabuchi Motor Việt Nam,Lương: Cạnh tranh,Đồng Nai,25-06-2023,,,,,,,,,,
